"service_id","date","exception_type"
"20_881_20250104","20250113","2"
"20_882_20250104","20250113","1"
"21_889_20250104","20250113","2"
"21_887_20250104","20250113","1"
"25_894_20250104","20250104","2"
"25_893_20250104","20250104","1"
"25_894_20250104","20250105","2"
"25_893_20250104","20250105","1"
"25_894_20250104","20250111","2"
"25_893_20250104","20250111","1"
"25_894_20250104","20250112","2"
"25_893_20250104","20250112","1"
"25_891_20250104","20250113","2"
"25_893_20250104","20250113","1"
"25_894_20250104","20250118","2"
"25_893_20250104","20250118","1"
"25_894_20250104","20250119","2"
"25_893_20250104","20250119","1"
"25_894_20250104","20250125","2"
"25_895_20250104","20250125","1"
"25_894_20250104","20250126","2"
"25_895_20250104","20250126","1"
"29_883_20250104","20250113","2"
"29_886_20250104","20250113","1"
