"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"20001_200211_1","20_882_20250104","882_292021452_20250104","牛窓",,,,"3_200211_1",,,"20"
"20001_200211_1","20_882_20250104","882_292021453_20250104","牛窓",,,,"3_200211_1",,,"20"
"20001_200211_1","20_882_20250104","882_292021449_20250104","牛窓",,,,"3_200211_1",,,"20"
"20001_200211_1","20_881_20250104","881_292021441_20250104","牛窓",,,,"3_200211_1",,,"20"
"20001_200211_1","20_881_20250104","881_292021438_20250104","牛窓",,,,"3_200211_1",,,"20"
"20001_200211_1","20_881_20250104","881_292021440_20250104","牛窓",,,,"3_200211_1",,,"20"
"20001_200211_1","20_882_20250104","882_292021447_20250104","牛窓",,,,"3_200211_1",,,"20"
"20001_200211_1","20_881_20250104","881_292021437_20250104","牛窓",,,,"3_200211_1",,,"20"
"20001_200211_1","20_882_20250104","882_292021451_20250104","牛窓",,,,"3_200211_1",,,"20"
"20001_200211_1","20_881_20250104","881_292021436_20250104","牛窓",,,,"3_200211_1",,,"20"
"20001_200211_1","20_882_20250104","882_292021450_20250104","牛窓",,,,"3_200211_1",,,"20"
"20001_200211_1","20_881_20250104","881_292021435_20250104","牛窓",,,,"3_200211_1",,,"20"
"20001_200211_1","20_882_20250104","882_292021448_20250104","牛窓",,,,"3_200211_1",,,"20"
"20001_200211_1","20_881_20250104","881_292021439_20250104","牛窓",,,,"3_200211_1",,,"20"
"20001_200212_1","20_881_20250104","881_292021418_20250104","西大寺",,,,"3_200212_1",,,"20"
"20001_200212_1","20_882_20250104","882_292021429_20250104","西大寺",,,,"3_200212_1",,,"20"
"20001_200212_1","20_881_20250104","881_292021416_20250104","西大寺",,,,"3_200212_1",,,"20"
"20001_200212_1","20_882_20250104","882_292021433_20250104","西大寺",,,,"3_200212_1",,,"20"
"20001_200212_1","20_882_20250104","882_292021427_20250104","西大寺",,,,"3_200212_1",,,"20"
"20001_200212_1","20_881_20250104","881_292021419_20250104","西大寺",,,,"3_200212_1",,,"20"
"20001_200212_1","20_882_20250104","882_292021430_20250104","西大寺",,,,"3_200212_1",,,"20"
"20001_200212_1","20_881_20250104","881_292021420_20250104","西大寺",,,,"3_200212_1",,,"20"
"20001_200212_1","20_881_20250104","881_292021415_20250104","西大寺",,,,"3_200212_1",,,"20"
"20001_200212_1","20_882_20250104","882_292021428_20250104","西大寺",,,,"3_200212_1",,,"20"
"20001_200212_1","20_882_20250104","882_292021432_20250104","西大寺",,,,"3_200212_1",,,"20"
"20001_200212_1","20_882_20250104","882_292021431_20250104","西大寺",,,,"3_200212_1",,,"20"
"20001_200212_1","20_881_20250104","881_292021417_20250104","西大寺",,,,"3_200212_1",,,"20"
"20001_200213_1","20_881_20250104","881_292021445_20250104","牛窓",,,,"3_200213_1",,,"20"
"20001_200213_1","20_881_20250104","881_292021444_20250104","牛窓",,,,"3_200213_1",,,"20"
"20001_200213_1","20_881_20250104","881_292021442_20250104","牛窓",,,,"3_200213_1",,,"20"
"20001_200213_1","20_881_20250104","881_292021443_20250104","牛窓",,,,"3_200213_1",,,"20"
"20001_200214_1","20_881_20250104","881_292021425_20250104","東区役所前",,,,"3_200214_1",,,"20"
"20001_200214_1","20_881_20250104","881_292021424_20250104","東区役所前",,,,"3_200214_1",,,"20"
"20001_200214_1","20_881_20250104","881_292021423_20250104","東区役所前",,,,"3_200214_1",,,"20"
"20001_200214_1","20_881_20250104","881_292021422_20250104","東区役所前",,,,"3_200214_1",,,"20"
"20001_200214_1","20_881_20250104","881_292021421_20250104","東区役所前",,,,"3_200214_1",,,"20"
"20007_200076_1","21_889_20250104","889_292020894_20250104","東区役所前",,,,"3_200076_1",,,"21"
"21002_210011_1","21_889_20250104","889_292021793_20250104","岡山駅",,,,"3_210011_1",,,"21"
"21002_210011_1","21_889_20250104","889_292021774_20250104","岡山駅",,,,"3_210011_1",,,"21"
"21002_210011_1","21_889_20250104","889_292021768_20250104","岡山駅",,,,"3_210011_1",,,"21"
"21002_210011_1","21_889_20250104","889_292021761_20250104","岡山駅",,,,"3_210011_1",,,"21"
